Zone,Quest,AP,Type,Sample,Bronze Material,,,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,,,,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Orleans,Marseille,7,Free,1084,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24,24,25,31.14,36.39,31.14,32.14,36.39,
Orleans,Thiers,7,Free,1013,,,43.6,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24,24,25,31.14,36.39,31.14,32.14,36.39,
Orleans,Bordeaux,7,Free,1025,,,,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,20.3,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24,24,25,31.14,36.39,31.14,32.14,36.39,
Orleans,Orleans,8,Free,1121,,64.5,63.5,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,45.1,,,,,,,,160.1,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,144.2,,,,,,,,,,,,19.38,49,292.5,25.63,31.88,19.75,21.25,23.25,27.5,33.75,29.5,22.25,20.25,23.25,28.5,32.75,29.5,24.13,24.13,25.13,30.38,34.72,30.38,31.38,34.72,
Orleans,Paris,13,Free,1162,,63.9,113,149.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,124.8,,,,,,,,243.6,,,,,,,,,,,,,472.1,656.8,559.5,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,24.23,134.8,340,28.08,31.92,24.69,26.62,29.08,30.46,34.31,32.92,27.85,25.38,29.08,31.69,33.08,32.92,30.23,30.23,31.46,34.08,35.52,34.08,35.31,35.52,
Septem,Appia Road,9,Free,1137,23.6,,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,52.7,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Rome,9,Free,1250,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Mt. Etna,9,Free,1137,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Florence,9,Free,1136,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.4,27,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Mediolanum,9,Free,1030,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Germania,15,Free,1353,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.2,,,,,,,,,,,,,,,,,,,,,90.6,278,123.8,,,,,,,,,,,,166.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.8,,,,,,,,,27.67,303.5,381.3,31,34.33,28.2,30.4,33.2,33.73,37.07,36.53,31.8,29,33.2,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Septem,Massilia,9,Free,1372,67.8,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,80.6,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,19.44,56,288.9,25,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Gaul,9,Free,1053,52.7,,,115,,,,,,,,,,,,,,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4,57.4,,,,55.1,,,,,,,,,,,,,,,,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,70.2,317.8,27.22,32.78,22,23.78,26,29.33,34.89,31.56,24.89,22.67,26,30.44,33.78,31.56,27,27,28.11,32.56,35.97,32.56,33.67,35.97,
Septem,Britannia,10,Free,1154,,,,,,,,,,,,,,,,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,36.4,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,76.4,312,26.5,31.5,21.9,23.6,25.8,28.6,33.6,30.8,24.7,22.5,25.8,29.7,32.5,30.8,26.8,26.8,27.9,31.8,34.68,31.8,32.9,34.68,
Septem,Shaped Island,9,Free,1148,,34.7,,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,166.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,21.67,70.2,317.8,27.22,32.78,22,23.78,26,29.33,34.89,31.56,24.89,22.67,26,30.44,33.78,31.56,27,27,28.11,32.56,35.97,32.56,33.67,35.97,
Septem,Alliance Capital,10,Free,1176,48,,,124.3,,,,,,,,,,,,,,367.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.5,93.3,,,,,74.9,,,,,,,,,,,,,,,,,,,,,,,,89.8,,,,,,,,,,,,,,,,,,,,,,,,,21.5,76.4,312,26.5,31.5,21.9,23.6,25.8,28.6,33.6,30.8,24.7,22.5,25.8,29.7,32.5,30.8,26.8,26.8,27.9,31.8,34.68,31.8,32.9,34.68,
Okeanos,Pirate Ship,12,Free,2311,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.58,107.3,346.7,28.75,32.92,25,27,29.5,31.17,35.33,33.67,28.25,25.75,29.5,32.42,34.08,33.67,30.67,30.67,31.92,34.83,36.56,34.83,36.08,36.56,
Okeanos,Pirate Island,13,Free,1099,22,,,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,78.1,,,,,,,,,,,,,,,,,,,,,113.4,,,,,,,,446.5,,,,,,,,,,,,,,,,,,,,24.23,134.8,340,28.08,31.92,24.69,26.62,29.08,30.46,34.31,32.92,27.85,25.38,29.08,31.69,33.08,32.92,30.23,30.23,31.46,34.08,35.52,34.08,35.31,35.52,
Okeanos,King's Abode Island,13,Free,1179,41.5,,,104.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8,,,,,134.4,,,,,,,,,,,,,,,,,,,,,,,,125.6,,,,,,,,567.7,,,,,,,,,,,,,,,,,25.77,172.9,360,29.62,33.46,26.23,28.31,30.92,32.15,36,34.77,29.62,27,30.92,33.46,34.69,34.77,32.15,32.15,33.46,36,37.29,36,37.31,37.31,
Okeanos,Mapped Island,13,Free,1822,,,31.1,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8,,,,,,,,427.7,,,,,,,,,,,,,,,,,25.77,172.9,360,29.62,33.46,26.23,28.31,30.92,32.15,36,34.77,29.62,27,30.92,33.46,34.69,34.77,32.15,32.15,33.46,36,37.29,36,37.31,37.31,
Okeanos,Sunken Rock Seas,17,Free,1200,,42.4,,,,,,,,,,,,,,,,,110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,100,,,,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.8,,,,,,,,,,,30.29,479.5,412.9,33.24,36.18,30.88,33.29,36.35,36.24,39.18,39.29,34.82,31.76,36.35,37.76,37.65,39.29,37.82,37.82,39.35,40.76,40.69,40.76,42.29,42.29,
Okeanos,Two-Current Sea,14,Free,1159,47.9,,,,,,,,,,,,,,,,,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,,67.9,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79,238.3,371.4,30.36,33.93,27.29,29.43,32.14,33,36.57,35.71,30.79,28.07,32.14,34.36,35.21,35.71,33.43,33.43,34.79,37,37.91,37,38.36,38.36,
Okeanos,Island of Wyverns,14,Free,3933,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,243.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.5,,,,,,,,,,,,28.21,280.6,390,31.79,35.36,28.71,31,33.86,34.57,38.14,37.43,32.43,29.57,33.86,36,36.71,37.43,35.21,35.21,36.64,38.79,39.55,38.79,40.21,40.21,
Okeanos,Caldera Island,17,Free,1670,,,,,,,,,,,,,,,,94.9,,,,,,,,120.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.4,43.71,45.35,45.35,
Okeanos,Stormy Seas,15,Free,1240,,,,,,,,,,,,,,,,,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.67,303.5,381.3,31,34.33,28.2,30.4,33.2,33.73,37.07,36.53,31.8,29,33.2,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Okeanos,Archipelago (Quiet Bay),15,Free,1218,76.1,,105.3,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.4,,131.4,,,,,,652.5,,553.6,,,,,,,,,,,,,,,,,29,347.2,398.7,32.33,35.67,29.53,31.87,34.8,35.2,38.53,38.13,33.33,30.4,34.8,36.67,37.07,38.13,36.2,36.2,37.67,39.53,39.98,39.53,41,41,
Okeanos,Archi (Hidden Island),16,Free,1140,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,29.69,413.5,406.3,32.81,35.94,30.25,32.63,35.63,35.75,38.88,38.75,34.13,31.13,35.63,37.25,37.38,38.75,37.06,37.06,38.56,40.19,40.36,40.19,41.69,41.69,
Okeanos,Bountiful Sea,18,Free,2630,,,,,,,,,,,,,,,,51.1,,,,167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,70.6,,,,,,,159.4,307.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41,40.33,43.11,43.78,39.28,35.83,41,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
London,Old Street,15,Free,1173,,,,,,,,,,,,,,,,,,,,,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,347.2,398.7,32.33,35.67,29.53,31.87,34.8,35.2,38.53,38.13,33.33,30.4,34.8,36.67,37.07,38.13,36.2,36.2,37.67,39.53,39.98,39.53,41,41,
London,White Chapel,15,Free,1655,,,,113.7,,,,,,,,,,,,,,,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,,,,,,243.4,,,,,,,,,,,,,,,,141.1,,,,,,,,709.3,,,,,,,,,,,,,,,,,,29,347.2,398.7,32.33,35.67,29.53,31.87,34.8,35.2,38.53,38.13,33.33,30.4,34.8,36.67,37.07,38.13,36.2,36.2,37.67,39.53,39.98,39.53,41,41,
London,City of London,15,Free,1221,,,,,,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,347.2,398.7,32.33,35.67,29.53,31.87,34.8,35.2,38.53,38.13,33.33,30.4,34.8,36.67,37.07,38.13,36.2,36.2,37.67,39.53,39.98,39.53,41,41,
London,Soho,16,Free,1046,,,,89.2,,,,,,,,,,,,,,,,,239.1,,160.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.5,,,214.6,,,,,304.3,,,274.4,,,,,,,,,,,,,,,164.1,,,,,,,,356.1,,,,,,321.8,,,,,,,,,,,,,28.44,368.5,390,31.56,34.69,29,31.25,34.13,34.38,37.5,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.5,35.5,36.94,38.63,38.92,38.63,40.06,40.06,
London,Westminster,16,Free,1118,,,,97.5,,,,,,,,,,,,,,,,,,,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,,,,,,293.2,,,,,,,,,,,,,,,,,,127.8,,,,,,,,400.8,,,,,,295.5,,,,,,,,,,,,,28.44,368.5,390,31.56,34.69,29,31.25,34.13,34.38,37.5,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.5,35.5,36.94,38.63,38.92,38.63,40.06,40.06,
London,Regent Park,16,Free,1065,,,,,,,,,,,,,,,,,,,,,150.8,270.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,57.8,,,,279.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.44,368.5,390,31.56,34.69,29,31.25,34.13,34.38,37.5,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.5,35.5,36.94,38.63,38.92,38.63,40.06,40.06,
London,Clerkenwell,18,Free,1162,,44.1,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,233.1,,,,,,,,99.1,,,,,,,,516.6,,,,,,,,,,,,,,,,,,,,,,,,373.5,,,,,,,,,,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41,40.33,43.11,43.78,39.28,35.83,41,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
London,Southwark,19,Free,6049,,63.1,,,,,,,,,,,,,,,,,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6,53.5,,,,,,,,169.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.7,,,,,,,,,,,,,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44,39.63,36.16,41.37,42.26,41.42,44,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
London,Hyde Park,20,Free,2827,,51.7,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8,,222.9,,,,,,,,118.5,,,,,,,,687.5,,,,,,,,,,,,,,,,,,,,,,,,360.5,,,,,,,,,,,34.75,832.4,468,37.25,39.75,35.4,38.2,41.7,40.7,43.2,44.2,39.95,36.45,41.7,42.45,41.45,44.2,43.4,43.4,45.15,45.9,44.94,45.9,47.65,47.65,
E Pluribus Unum,Black Hills,17,Free,1616,,,,,,,,,,,,,,,,,,,,,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Riverton,17,Free,1134,34.1,,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,306,257,,,,,,,,,,,,,,,,,,,,,,,,79.7,,,,,,,,172.1,,,,,,,,,,,,,,,,,,,,,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Denver,17,Free,1730,,,,140,,,,,,,,,,,,,,,,,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,130.1,,,,,,,,,,,,,,,,,151.6,,,,,,,,840.3,,,,,,,,,,,,,,,,,,,,,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Deming,17,Free,1667,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5,,,,,,,,,,,,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.4,43.71,45.35,45.35,
E Pluribus Unum,Dallas,17,Free,1915,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.4,43.71,45.35,45.35,
E Pluribus Unum,Alcatraz,18,Free,1118,31.7,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.3,,,,,,,,670.8,,,,,,,,,,,,,,,,,31.94,594.2,433.3,34.72,37.5,32.56,35.11,38.33,37.89,40.67,41.11,36.72,33.5,38.33,39.5,39.06,41.11,39.89,39.89,41.5,42.67,42.26,42.67,44.28,44.28,
E Pluribus Unum,Des Moines,18,Free,2890,,,,98.7,,,,,,,,,,,,167.8,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,191.3,,,,,,,,,,,,181.3,,,,,,,,361.3,,,,,,,,,,,,25.3,,,,,,,,,31.94,594.2,433.3,34.72,37.5,32.56,35.11,38.33,37.89,40.67,41.11,36.72,33.5,38.33,39.5,39.06,41.11,39.89,39.89,41.5,42.67,42.26,42.67,44.28,44.28,
E Pluribus Unum,Montgomery,18,Free,1096,27.1,,,101.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,,151.8,,,,,,,,334.4,,,,,,,,,,,,,,,,,,,,,,33.06,644.9,447.8,35.83,38.61,33.67,36.33,39.67,39.11,41.89,42.44,38,34.67,39.67,40.78,40.22,42.44,41.28,41.28,42.94,44.06,43.54,44.06,45.72,45.72,
E Pluribus Unum,Lubbock,18,Free,2007,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.3,,,,,,,,,,,,,,,79.7,171.2,,,,,,,,,,,,224.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,,,,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41,40.33,43.11,43.78,39.28,35.83,41,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Alexandria,18,Free,7184,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6,,,,,,,,,,,,,,,,106.6,322.3,172.9,,,,,,,200.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41,40.33,43.11,43.78,39.28,35.83,41,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Kearney,18,Free,1581,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5,,,,,,,,,,,,,,,,,98.5,,98.5,,,,,,,,180.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41,40.33,43.11,43.78,39.28,35.83,41,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Charlotte,20,Free,73064,37.5,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.1,173.1,,357.6,,,,,,,,,,,,,,,,,,,,,,180.5,,,,60.3,,,,431.1,,,,144.9,,,,,,,,,,,,,,,,,35.75,887.6,481,38.25,40.75,36.45,39.3,42.9,41.8,44.3,45.4,41.1,37.5,42.9,43.6,42.5,45.4,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
E Pluribus Unum,Washington,20,Free,1387,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.7,,,,,,,,,,,,,,,,,,123.3,342.5,380,,360.3,,,,,,,,,,,,554.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,37.25,973.4,500.5,39.75,42.25,37.95,40.95,44.7,43.45,45.95,47.2,42.8,39.1,44.7,45.3,44.1,47.2,46.55,46.55,48.4,49.05,47.81,49.05,50.9,50.9,
E Pluribus Unum,Chicago,21,Free,1006,,,,,,,,,,,,,,,,,,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,,,,,,,,128.8,,,,,,,,640.2,,,,,,,,,,,,,,,,,,,,,,,,414.2,,,,,,,,,,,,,,36.9,"1,012.20",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.1,46.1,47.95,48.48,47.18,48.48,50.33,50.33,
Camelot,Sandstorm Desert,19,Free,7173,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.6,,,,,,,,,,,,,157.3,170.9,159.7,,,,,,,,,,,,,,,,,,551.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,33.42,712,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
Camelot,Dune of Dawn,19,Free,1436,,,,,,,,,,,,,,,,,,,106.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8,,,,,,,,,,,,,,,,,,110.5,,,,,,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,,,33.42,712,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
